?type	?uri	?labels	?definitions	?editor_notes	?examples	?statuses	?human_friendly_names	?name_of_editors	?alternative_names	?citations
"C"	<http://purl.obolibrary.org/obo/IAO_0000091>	"obsolete_report element"	"A report element is a narrative object in which information is presented and consumed by a human being, and is part of a report. Examples of report elements are figure (dot plot), table, text portion (may include a movie or audio clip on a web page)."	"2009-03-16: work has been done on this term during during the OBI workshop winter 2009 and the current definition was considered acceptable for use in OBI. If there is a need to modify this definition please notify OBI.|2009-03-16: was report display element with definition: A report display element is a narrative object that is part of a report. Report display elements are set off from the textual parts of a report and are typically given a label(e.g. Figure 2) which is used to refer to the element from the text. Typically the 2d layout is part of the identity of such elements.|Replaced by textual entity and figure|2009-03-16: needs some more work (clarify relations).|2009-08-10 Alan Ruttenberg: Larry Hunter suggests that this be obsoleted and replaced by 'textual entity' and 'figure'. Alan restored as there are OBI dependencies and this merits further discussion|There will be some issue here about whether these are defined classes. As intended these are meant to denote the parts of the report that are not textual but are typically boxed and set within the text, labelled with some identifier, and referred to in the text"		"http://purl.obolibrary.org/obo/IAO_0000120"	"report element"	"PERSON: Alan Ruttenberg|PERSON: Melanie Courtot|PERSON: Allyson Lister"		"GROUP:OBI|OBI_0000001"
"C"	<http://purl.obolibrary.org/obo/IAO_0000093>	"obsolete2_binary executable"	"Binary executable is a digital entity consisting of the binary representation of machine instructions of a specific processor or they may be binary pseudocode for a virtual machine. A non-source executable file is also called an object program. It is assumed that the binary executable file contains properly-formatted computer instructions.  (derived from Wikipedia, Nov 1, 2007)"	"3/22/2009 Alan Ruttenberg, obsoleted per http://groups.google.com/group/information-ontology/browse_thread/thread/789ad4b7708d5cf4\nsuperclass was 'digital entity'"			"binary executable"	"person:Jennifer Fostel"		"group:OBI|OBI_0000222"
"C"	<http://purl.obolibrary.org/obo/IAO_0000096>	"source code module"	"A source code module is a directive information entity that specifies, using a programming language, some algorithm."		"The written source code that implements part of an algorithm. Test - if you know that it was written in a specific language, then it can be source code module. We mean here, roughly, the wording of a document such as a perl script."	"http://purl.obolibrary.org/obo/IAO_0000123"	"source code module"	"person:Chris Stoeckert|person:Alan Ruttenberg"		"group:OBI|OBI_0000039"
"C"	<http://purl.obolibrary.org/obo/IAO_0000097>	"obsolete_report table"	"A report table is a report display element consisting of a matrix of cells layed out in a grid, some set of which are filled with some information content"	"2009-08-10 Alan Ruttenberg: Larry Hunter suggests that this be obsoleted and replaced by 'textual entity table'. Alan restored as there are OBI dependencies and this merits further discussion"		"http://purl.obolibrary.org/obo/IAO_0000002"	"report table"	"person:Allyson Lister|person:Alan Ruttenberg"		"group:OBI|OBI_0000265"
"C"	<http://purl.obolibrary.org/obo/IAO_0000098>	"data format specification"	"A data format specification is the information content borne by the document published defining the specification.\nExample: The ISO document specifying what encompasses an XML document; The instructions in a XSD file"	"2009-03-16: provenance: term imported from OBI_0000187, which had original definition \"A data format specification is a plan which organizes\ninformation. Example: The ISO document specifying what encompasses an\nXML document; The instructions in a XSD file\""		"http://purl.obolibrary.org/obo/IAO_0000123"	"data format specification"	"PERSON: Alan Ruttenberg|PlanAndPlannedProcess Branch"		"OBI branch derived|OBI_0000187"
"C"	<http://purl.obolibrary.org/obo/IAO_0000100>	"data set"	"A data item that is an aggregate of other data items of the same type that have something in common. Averages and distributions can be determined for data sets."	"2009/10/23 Alan Ruttenberg. The intention is that this term represent collections of like data. So this isn't for, e.g. the whole contents of a cel file, which includes parameters, metadata etc. This is more like java arrays of a certain rather specific type|2014-05-05: Data sets are aggregates and thus must include two or more data items. We have chosen not to add logical axioms to make this restriction."	"Intensity values in a CEL file or from multiple CEL files comprise a data set (as opposed to the CEL files themselves)."	"http://purl.obolibrary.org/obo/IAO_0000125"	"data set"	"person:Chris Stoeckert|person:Allyson Lister"		"group:OBI|OBI_0000042"
"C"	<http://purl.obolibrary.org/obo/IAO_0000101>	"image"	"An image is an affine projection to a two dimensional surface, of measurements of some quality of an entity or entities repeated at regular intervals across a spatial range, where the measurements are represented as color and luminosity on the projected on surface."			"http://purl.obolibrary.org/obo/IAO_0000122"	"image"	"person:Chris Stoeckert|person:Alan Ruttenberg|person:Allyson"		"group:OBI|OBI_0000030"
"C"	<http://purl.obolibrary.org/obo/IAO_0000102>	"data about an ontology part"	"data about an ontology part is a data item about a part of an ontology, for example a term"					"Person:Alan Ruttenberg"		
"C"	<http://purl.obolibrary.org/obo/IAO_0000104>	"plan specification"	"A directive information entity with action specifications and objective specifications as parts that, when concretized, is realized in a process in which the bearer tries to achieve the objectives by taking the actions specified."	"2009-03-16: provenance: a term a plan was proposed for OBI (OBI_0000344) , edited by the PlanAndPlannedProcess branch. Original definition was \" a plan is a specification of a process that is realized by an actor to achieve the objective specified as part of the plan\". It has been subsequently moved to IAO where the objective for which the original term was defined was satisfied with the definitionof this, different, term.|2014-03-31: A plan specification can have other parts, such as conditional specifications.|Alternative previous definition: a plan is a set of instructions that specify how an objective should be achieved"	"PMID: 18323827.Nat Med. 2008 Mar;14(3):226.New plan proposed to help resolve conflicting medical advice."	"http://purl.obolibrary.org/obo/IAO_0000122"	"plan specification"	"Alan Ruttenberg"		"OBI_0000344|OBI Plan and Planned Process branch"
"C"	<http://purl.obolibrary.org/obo/IAO_0000105>	"obsolete2_digital document"	"A digital document is a digital entity consisting of an electronic file which can be rendered into human-readable form by one or more computational applications.  The digital document does not refer to the information content of the document but to an instance of the file."	"3/22/2009 Alan Ruttenberg, obsoleted per http://groups.google.com/group/information-ontology/browse_thread/thread/789ad4b7708d5cf4\nsuperclass was 'digial entity'"			"digital document"	"person:Jennifer Fostel"		"OBI_0000195|group:OBI"
"C"	<http://purl.obolibrary.org/obo/IAO_0000109>	"measurement datum"	"A measurement datum is an information content entity that is a recording of the output of a measurement such as produced by a device."	"2/2/2009 is_specified_output of some assay?"	"Examples of measurement data are the recoding of the weight of a mouse as {40,mass,\"grams\"}, the recording of an observation of the behavior of the mouse {,process,\"agitated\"}, the recording of the expression level of a gene as measured through the process of microarray experiment {3.4,luminosity,}."	"http://purl.obolibrary.org/obo/IAO_0000125"	"measurement datum"	"person:Chris Stoeckert"		"group:OBI|OBI_0000305"
"C"	<http://purl.obolibrary.org/obo/IAO_0000128>	"obsolete_identifier"		"_identifier is a container under information content entity for collecting types of terms to indicate a specific instance or clas of what was used or participated in an investigation. Identifiers are borne by a product or its packaging, and can be encoded in a variety of other information objects, such as bar codes, numerals, or patterns of dots.\n\nNote: everybody agreed that identifier is probably a too general term. We however felt that it would be appropriate to group \"identifiying\" terms under some kind of umbrella. We therefore propose to use _identifier for that purpose. As per OBI conventions, the _ prefixing identifier indicates that this is a helper class and shouldn't be considered as final."		"http://purl.obolibrary.org/obo/IAO_0000121"				
"C"	<http://purl.obolibrary.org/obo/IAO_0000129>	"version number"	"A version number is an information content entity which is a sequence of characters borne by part of each of a class of manufactured products or its packaging and indicates its order within a set of other products having the same name."	"Note: we feel that at the moment we are happy with a general version number, and that we will subclass as needed in the future. For example, see 7. genome sequence version"		"http://purl.obolibrary.org/obo/IAO_0000123"	"version number"	"GROUP: IAO"		
"C"	<http://purl.obolibrary.org/obo/IAO_0000131>	"serial number"	"A serial number is an information content entity which is a unique sequence of characters borne by part of manufactured product or its packaging that is assigned to each individual in some class of products, and so can serve as a way to identify an individual product within the class. Serial numbers can be encoded in a variety of other information objects, such as bar codes, numerals, or patterns of dots."	"Note: during the call there was some confusion between serial number and model number. We agreed that it would be very helpful for all those terms to have example of usages - please add if you have any :-)"		"http://purl.obolibrary.org/obo/IAO_0000123"	"serial number"	"GROUP: IAO"		
"C"	<http://purl.obolibrary.org/obo/IAO_0000132>	"lot number"	"A lot number is an information content entity which is an identical sequence of character borne by part of manufactured product or its packaging for each instances of a product class in a discrete batch of an item. Lot numbers are usually assigned to each separate production run of an item. Manufacturing as a lot might be due to a variety of reasons, for example,  a single process during which many individuals are made from the same portion of source material. Lot numbers can be encoded in a pattern  of other information objects, such as bar codes, numerals, or patterns of dots."			"http://purl.obolibrary.org/obo/IAO_0000123"	"lot number"	"GROUP: IAO"	"batch number"	
"C"	<http://purl.obolibrary.org/obo/IAO_0000140>	"setting datum"	"A settings datum is a datum that denotes some configuration of an instrument."	"Alan grouped these in placeholder for the moment. Name by analogy to measurement datum.|2/3/2009 Feedback from OBI\n\nThis should be a \"setting specification\". There is a question of whether it is information about a realizable or not.\n\nPro other specification are about realizables.\nCons sometimes specifies a quality which is not a realizable."		"http://purl.obolibrary.org/obo/IAO_0000123"				
"C"	<http://purl.obolibrary.org/obo/IAO_0000141>	"obsolete_digital quality"		"Need to rework digital entity. Digital quality was suggested by Barry.|3/22/2009 Alan Ruttenberg, obsoleted per http://groups.google.com/group/information-ontology/browse_thread/thread/789ad4b7708d5cf4"						
"C"	<http://purl.obolibrary.org/obo/IAO_0000144>	"conclusion textual entity"	"A textual entity that expresses the results of reasoning about a problem, for instance as typically found towards the end of scientific papers."	"2009/09/28 Alan Ruttenberg. Fucoidan-use-case|2009/10/23 Alan Ruttenberg: We need to work on the definition still"	"that fucoidan has a small statistically significant effect on AT3 level but no useful clinical effect as in-vivo anticoagulant, a paraphrase of part of the last paragraph of the discussion section of the paper 'Pilot clinical study to evaluate the anticoagulant activity of fucoidan', by Lowenthal et. al.PMID:19696660"	"http://purl.obolibrary.org/obo/IAO_0000120"	"conclusion textual entity"	"Person:Alan Ruttenberg"		
"C"	<http://purl.obolibrary.org/obo/IAO_0000178>	"material information bearer"	"A material entity in which a concretization of an information content entity inheres."		"a hard drive|A page of a paperback novel with writing on it. The paper itself is a material information bearer, the pattern of ink is the information carrier.|a brain"	"http://purl.obolibrary.org/obo/IAO_0000122"	"material information bearer"	"GROUP: IAO"		
"C"	<http://purl.obolibrary.org/obo/IAO_0000179>	"histogram"	"A histogram is a report graph which is a statistical description of a\ndistribution in terms of occurrence frequencies of different event classes."			"http://purl.obolibrary.org/obo/IAO_0000122"	"histogram"	"PERSON:Melanie Courtot|PERSON:James Malone|PERSON:Chris Stoeckert"		"GROUP:OBI"
"C"	<http://purl.obolibrary.org/obo/IAO_0000180>	"heatmap"	"A heatmap is a report graph which is a graphical representation of data\nwhere the values taken by a variable(s) are shown as colors in a\ntwo-dimensional map."			"http://purl.obolibrary.org/obo/IAO_0000122"	"heatmap"	"PERSON:Melanie Courtot|PERSON:James Malone|PERSON:Chris Stoeckert"		"GROUP:OBI"
"C"	<http://purl.obolibrary.org/obo/IAO_0000181>	"Venn diagram"	"A Venn diagram is a report graph showing all hypothetically possible\nlogical relations between a finite collection of sets."			"http://purl.obolibrary.org/obo/IAO_0000122"	"Venn diagram"	"PERSON:Melanie Courtot|PERSON:James Malone|PERSON:Chris Stoeckert"		"WEB: http://en.wikipedia.org/wiki/Venn_diagram"
"C"	<http://purl.obolibrary.org/obo/IAO_0000182>	"obsolete_survival curve"	"A survival curve is a report graph which is a graphical representation of data where the percentage of survival is plotted as a function of time."			"http://purl.obolibrary.org/obo/IAO_0000122"	"obsolete_survival curve"	"PERSON:Melanie Courtot|PERSON:James Malone|PERSON:Chris Stoeckert"		"WEB: http://www.graphpad.com/www/book/survive.htm"
"C"	<http://purl.obolibrary.org/obo/IAO_0000183>	"dendrogram"	"A dendrogram is a report graph which is a tree diagram\nfrequently used to illustrate the arrangement of the clusters produced by a\nclustering algorithm."		"Dendrograms are often used in computational biology to\nillustrate the clustering of genes."	"http://purl.obolibrary.org/obo/IAO_0000122"	"dendrogram"	"PERSON:Melanie Courtot|PERSON:James Malone|PERSON:Chris Stoeckert"		"WEB: http://en.wikipedia.org/wiki/Dendrogram"
"C"	<http://purl.obolibrary.org/obo/IAO_0000184>	"scatter plot"	"A scatterplot is a graph which uses Cartesian coordinates to display values for two variables for a set of data. The data is displayed as a collection of points, each having the value of one variable determining the position on the horizontal axis and the value of the other variable determining the position on the vertical axis."		"Comparison of gene expression values in two samples can be displayed in a scatter plot"	"http://purl.obolibrary.org/obo/IAO_0000122"	"scatter plot"	"PERSON:Melanie Courtot|PERSON:James Malone|PERSON:Chris Stoeckert"	"scattergraph"	"WEB: http://en.wikipedia.org/wiki/Scatterplot"
"C"	<http://purl.obolibrary.org/obo/IAO_0000185>	"photograph"	"A photograph is created by projecting an image onto a photosensitive surface such as a chemically treated plate or film, CCD receptor, etc."			"http://purl.obolibrary.org/obo/IAO_0000122"		"PERSON:Alan Ruttenberg|PERSON:Melanie Courtot|PERSON:Joanne Luciano"		"WEB: http://en.wiktionary.org/wiki/photograph"
"C"	<http://purl.obolibrary.org/obo/IAO_0000186>	"photographic print"	"A photographic print is a material entity upon which a photograph generically depends."			"http://purl.obolibrary.org/obo/IAO_0000125"	"photographic print"	"PERSON:Alan Ruttenberg|PERSON:Melanie Courtot"		
"C"	<http://purl.obolibrary.org/obo/IAO_0000225>	"obsolescence reason specification"	"The reason for which a term has been deprecated. The allowed values come from an enumerated list of predefined terms. See the specification of these instances for more detailed definitions of each enumerated value."	"The creation of this class has been inspired in part by Werner Ceusters' paper, Applying evolutionary terminology auditing to the Gene Ontology."		"http://purl.obolibrary.org/obo/IAO_0000125"	"obsolescence reason specification"	"PERSON: Melanie Courtot|PERSON: Alan Ruttenberg"		
"C"	<http://purl.obolibrary.org/obo/IAO_0000300>	"textual entity"	"A textual entity is a part of a manifestation (FRBR sense), a generically dependent continuant whose concretizations are patterns of glyphs intended to be interpreted as words, formulas, etc."	"AR, (IAO call 2009-09-01): a document as a whole is not typically a textual entity, because it has pictures in it - rather there are parts of it that are textual entities. Examples: The title, paragraph 2 sentence 7, etc.|MC, 2009-09-14 (following IAO call 2009-09-01): textual entities live at the FRBR (http://en.wikipedia.org/wiki/Functional_Requirements_for_Bibliographic_Records) manifestation level. Everything is significant: line break, pdf and html versions of same document are different textual entities."	"Words, sentences, paragraphs, and the written (non-figure) parts of publications are all textual entities"	"http://purl.obolibrary.org/obo/IAO_0000123"	"textual entity"	"PERSON: Lawrence Hunter"	"text"	
"C"	<http://purl.obolibrary.org/obo/IAO_0000301>	"citation"	"a textual entity intended to identify a particular publication"		"Verspoor, K., Cohen, KB., Hunter, L. Textual characteristics of traditional and Open Access scientific journals are similar, BMC Bioinformatics 2009, 10:183."	"http://purl.obolibrary.org/obo/IAO_0000125"	"citation"	"PERSON: Lawrence Hunter"		
"C"	<http://purl.obolibrary.org/obo/IAO_0000302>	"author identification"	"A textual entity intended to identify a particular author"		"L. Hunter"	"http://purl.obolibrary.org/obo/IAO_0000125"	"author identification"	"PERSON: Lawrence Hunter"		
"C"	<http://purl.obolibrary.org/obo/IAO_0000303>	"institutional identification"	"A textual entity intended to identify a particular institution"		"University of Colorado Denver School of Medicine"	"http://purl.obolibrary.org/obo/IAO_0000125"	"institutional identification"	"PERSON: Lawrence Hunter"		
"C"	<http://purl.obolibrary.org/obo/IAO_0000304>	"caption"	"A textual entity that describes a figure"		"Figure 1: A system diagram describing the modules of the Hanalyzer.  Reading methods (green) take external sources of knowledge (blue) and extract information from them, either by parsing structured data or biomedical language processing to extract information from unstructured data.  Reading modules are responsible for tracking the provenance of all knowledge.  Reasoning methods (yellow) enrich the knowledge that results from reading by, for example, noting two genes that are annotated to the same ontology term or database entry.  All knowledge sources, read or reasoned, are assigned a reliability score, and all are combined using that score into a knowledge network (orange) that represents the integration of all sorts of relationship between a pair of genes and a combined reliability score.  A data network (also orange) is created from experimental results to be analyzed.  The reporting modules (pink) integrate the data and knowledge networks, producing visualizations that can be queried with the associated drill-down tool."	"http://purl.obolibrary.org/obo/IAO_0000125"	"caption"	"PERSON: Lawrence Hunter"		
"C"	<http://purl.obolibrary.org/obo/IAO_0000305>	"document title"	"A textual entity that names a document"		"Textual characteristics of traditional and Open Access scientific journals are similar"	"http://purl.obolibrary.org/obo/IAO_0000125"	"document title"	"PERSON: Lawrence Hunter"		
"C"	<http://purl.obolibrary.org/obo/IAO_0000306>	"table"	"A textual entity that contains a two-dimensional arrangement of texts repeated at regular intervals across a spatial range, such that the spatial relationships among the constituent texts expresses propositions"		"| T     F\n--+-----\nT   | T     F\nF   |  F    F"	"http://purl.obolibrary.org/obo/IAO_0000125"	"table"	"PERSON: Lawrence Hunter"		
"C"	<http://purl.obolibrary.org/obo/IAO_0000307>	"table of abbreviations"	"A table where the constituent texts are abbreviations and their expansions"		"IAO  information artifact ontology\nOBI  ontology of biomedical investiations\nGO   gene ontology"	"http://purl.obolibrary.org/obo/IAO_0000125"	"table of abbreviations"	"PERSON: Lawrence Hunter"		
"C"	<http://purl.obolibrary.org/obo/IAO_0000308>	"figure"	"An information content entity consisting of a two dimensional arrangement of information content entities such that the arrangement itself is about something."		"Any picture, diagram or table"	"http://purl.obolibrary.org/obo/IAO_0000120"	"figure"	"PERSON: Lawrence Hunter"		
"C"	<http://purl.obolibrary.org/obo/IAO_0000309>	"diagram"	"A figure that expresses one or more propositions"		"A molecular structure ribbon cartoon showing helices, turns and sheets and their relations to each other in space."	"http://purl.obolibrary.org/obo/IAO_0000120"	"diagram"	"PERSON: Lawrence Hunter"		
"C"	<http://purl.obolibrary.org/obo/IAO_0000310>	"document"	"A collection of information content entities intended to be understood together as a whole"		"A journal article, patent application, laboratory notebook, or a book"	"http://purl.obolibrary.org/obo/IAO_0000120"	"document"	"PERSON: Lawrence Hunter"		
"C"	<http://purl.obolibrary.org/obo/IAO_0000311>	"publication"	"A document that has been accepted by a publisher"		"A journal article or book"	"http://purl.obolibrary.org/obo/IAO_0000120"	"publication"	"PERSON: Lawrence Hunter"		
"C"	<http://purl.obolibrary.org/obo/IAO_0000312>	"publication about an investigation"	"A publication that is about an investigation"		"Most scientific journal articles"	"http://purl.obolibrary.org/obo/IAO_0000120"	"publication about an investigation"	"PERSON: Lawrence Hunter"	"scientific publication"	
"C"	<http://purl.obolibrary.org/obo/IAO_0000313>	"patent"	"A document that has been accepted by a patent authority"		"US Patent 6,449,603"	"http://purl.obolibrary.org/obo/IAO_0000120"	"patent"	"PERSON: Lawrence Hunter"		
"C"	<http://purl.obolibrary.org/obo/IAO_0000314>	"document part"	"an information content entity that is part of a document"		"An abstract, introduction, method or results section."	"http://purl.obolibrary.org/obo/IAO_0000120"	"document part"	"PERSON: Lawrence Hunter"		
"C"	<http://purl.obolibrary.org/obo/IAO_0000315>	"abstract"	"A summary of the entire document that is substantially smaller than the document it summarizes.  It is about the document it summarizes."		"The profusion of high-throughput instruments and the explosion of new results in the scientific literature, particularly in molecular biomedicine, is both a blessing and a curse to the bench researcher.   Even knowledgeable and experienced scientists can benefit from computational tools that help navigate this vast and rapidly evolving terrain. In this paper, we describe a novel computational approach to this challenge, a knowledge-based system that combines reading, reasoning and reporting methods to facilitate analysis of experimental data. Reading methods extract information from external resources, either by parsing structured data or biomedical language processing to extract information from unstructured data, and track knowledge provenance.  Reasoning methods enrich the knowledge that results from reading by, for example, noting two genes that are annotated to the same ontology term or database entry.  Reasoning is also used to combine all sources into a knowledge network that represents the integration of all sorts of relationships between a pair of genes, and to calculate a combined reliability score. Reporting methods combine the knowledge network with a congruent network constructed from experimental data and visualize the combined network in a tool that facilitates the knowledge-based analysis of that data."	"http://purl.obolibrary.org/obo/IAO_0000120"	"abstract"	"PERSON: Lawrence Hunter"		
"C"	<http://purl.obolibrary.org/obo/IAO_0000316>	"introduction to a publication about an investigation"	"A part of a publication about an investigation that is about the objective specification (why the investigation is being done)"		"Section labelled 'introduction' of a typical scientific journal article"	"http://purl.obolibrary.org/obo/IAO_0000120"	"introduction to a publication about an investigation"	"PERSON: Lawrence Hunter"	"introduction|background"	
"C"	<http://purl.obolibrary.org/obo/IAO_0000317>	"methods section"	"A part of a publication about an investigation that is about the study design of the investigation"		"The section labelled 'Methods' or 'Materials and Methods' in a typical scientific journal article."	"http://purl.obolibrary.org/obo/IAO_0000120"	"methods section"	"PERSON: Lawrence Hunter"	"experimental section|experimental procedures|experimental|methods"	
"C"	<http://purl.obolibrary.org/obo/IAO_0000318>	"results section"	"A part of a publication about an investigation that is about a study design execution"		"The section labelled 'results' in a typical scientific journal article"	"http://purl.obolibrary.org/obo/IAO_0000120"	"results section"	"PERSON: Lawrence Hunter"	"results"	
"C"	<http://purl.obolibrary.org/obo/IAO_0000319>	"discussion section of a publication about an investigation"	"A part of a publication about an investigation that is about the study interpretation of the investigation"			"http://purl.obolibrary.org/obo/IAO_0000120"	"discussion section of a publication about an investigation"	"PERSON: Lawrence Hunter"	"discussion section|discussion"	
"C"	<http://purl.obolibrary.org/obo/IAO_0000320>	"references section"	"A part of a document that has citations as parts"		"The list of citations found at the end of a scientific publication, grant proposal or patent application, sometimes called \"literature cited\" or \"bibliography\""	"http://purl.obolibrary.org/obo/IAO_0000120"	"references section"	"PERSON: Lawrence Hunter"		
"C"	<http://purl.obolibrary.org/obo/IAO_0000321>	"author list"	"part of a document that enumerates the authors of the document"		"Lawrence Hunter and Kevin Brettonel Cohen"	"http://purl.obolibrary.org/obo/IAO_0000120"	"author list"	"PERSON: Lawrence Hunter"		
"C"	<http://purl.obolibrary.org/obo/IAO_0000322>	"institution list"	"part of a document that has parts that are institution identifications associated with the authors of the document"		"The University of Colorado Denver School of Medicine and the University of Colorado Boulder."	"http://purl.obolibrary.org/obo/IAO_0000120"	"institution list"	"PERSON: Lawrence Hunter"		
"C"	<http://purl.obolibrary.org/obo/IAO_0000323>	"author contributions section"	"A part of a publication that is about the specific contributions of each author"		"LH conceived of the hypothesis, designed the study and contributed to the writing of the manuscript.  KBC executed the experiments, analyzed the data, and contributed to the writing of the manuscript."	"http://purl.obolibrary.org/obo/IAO_0000120"	"author contributions section"	"PERSON: Lawrence Hunter"	"author contributions|contributions by the authors"	
"C"	<http://purl.obolibrary.org/obo/IAO_0000324>	"acknowledgements section"	"Part of a publication that is about the contributions of people or institutions other than the authors."		"The authors wish to thank Alan Ruttenberg for his constructive comments about an earlier draft of this manuscript"	"http://purl.obolibrary.org/obo/IAO_0000120"	"acknowledgements section"	"PERSON: Lawrence Hunter"	"acknowledgments|acknowledgements"	
"C"	<http://purl.obolibrary.org/obo/IAO_0000325>	"footnote"	"A part of a document that is about a specific other part of the document.  Usually footnotes are spatially segregated from the rest of the document."		"The referent in the text is usually indicated by a special typographic character such as * or a superscripted number, which is also used to indicate the footnote that refers to that text."	"http://purl.obolibrary.org/obo/IAO_0000120"	"footnote"	"PERSON: Lawrence Hunter"	"endnote"	
"C"	<http://purl.obolibrary.org/obo/IAO_0000326>	"supplementary material to a document"	"part of a document that is segregated from the rest of the document due to its size"			"http://purl.obolibrary.org/obo/IAO_0000120"	"supplementary material to a document"	"PERSON: Lawrence Hunter"	"additional information|supporting information|supplementary material|appendix|supplemental information"	
"C"	<http://purl.obolibrary.org/obo/IAO_0000327>	"table of contents"	"A table that relates document parts to specific locations in a document (usually page numbers).  This is also a document part (subsumption there should be inferred)."			"http://purl.obolibrary.org/obo/IAO_0000125"	"table of contents"	"PERSON: Lawrence Hunter"		
"C"	<http://purl.obolibrary.org/obo/IAO_0000328>	"table of figures"	"A table that relates figures in a document to specific locations in that document (usually page numbers).  This is also a document part (subsumption there should be inferred)."			"http://purl.obolibrary.org/obo/IAO_0000125"	"table of figures"	"PERSON: Lawrence Hunter"		
"C"	<http://purl.obolibrary.org/obo/IAO_0000329>	"running title"	"A shorter version of a document title"			"http://purl.obolibrary.org/obo/IAO_0000125"	"running title"	"PERSON: Lawrence Hunter"		
"C"	<http://purl.obolibrary.org/obo/IAO_0000330>	"copyright section"	"A document part that describes  legal restrictions on making or distributing copies of the document"		"This work is licensed under a Creative Commons Attribution-Share Alike 3.0 United States License."	"http://purl.obolibrary.org/obo/IAO_0000120"	"copyright section"	"PERSON: Lawrence Hunter"		
"C"	<http://purl.obolibrary.org/obo/IAO_0000400>	"cartesian spatial coordinate datum"	"A cartesian spatial coordinate datum is a representation of a point in a spatial region, in which equal changes in the magnitude of a coordinate value denote length qualities with the same magnitude"	"2009-08-18 Alan Ruttenberg - question to BFO list about whether the BFO sense of the lower dimensional regions is that they are always part of actual space (the three dimensional sort) http://groups.google.com/group/bfo-discuss/browse_thread/thread/9d04e717e39fb617"		"http://purl.obolibrary.org/obo/IAO_0000120"		"Alan Ruttenberg"		
"C"	<http://purl.obolibrary.org/obo/IAO_0000401>	"one dimensional cartesian spatial coordinate datum"	"A cartesion spatial coordinate datum that  uses one value to specify a position along a one dimensional spatial region"			"http://purl.obolibrary.org/obo/IAO_0000123"		"Alan Ruttenberg"		
"C"	<http://purl.obolibrary.org/obo/IAO_0000402>	"two dimensional cartesian spatial coordinate datum"	"A cartesion spatial coordinate datum that  uses two values to specify a position within a two dimensional spatial region"			"http://purl.obolibrary.org/obo/IAO_0000123"		"Alan Ruttenberg"		
"C"	<http://purl.obolibrary.org/obo/IAO_0000403>	"three dimensional cartesian spatial coordinate datum"	"A cartesion spatial coordinate datum that  uses three values to specify a position within a three dimensional spatial region"			"http://purl.obolibrary.org/obo/IAO_0000123"		"Alan Ruttenberg"		
"C"	<http://purl.obolibrary.org/obo/IAO_0000408>	"length measurement datum"	"A scalar measurement datum that is the result of measurement of length quality"			"http://purl.obolibrary.org/obo/IAO_0000123"		"Alan Ruttenberg"		
"C"	<http://purl.obolibrary.org/obo/IAO_0000409>	"denotator type"	"A denotator type indicates how a term should be interpreted from an ontological perspective."		"The Basic Formal Ontology ontology makes a distinction between Universals and defined classes, where the formal are \"natural kinds\" and the latter arbitrary collections of entities."			"Alan Ruttenberg"		"Barry Smith, Werner Ceusters"
"C"	<http://purl.obolibrary.org/obo/IAO_0000414>	"mass measurement datum"	"A scalar measurement datum that is the result of measurement of mass quality"	"2009/09/28 Alan Ruttenberg. Fucoidan-use-case"		"http://purl.obolibrary.org/obo/IAO_0000123"		"Person:Alan Ruttenberg"		
"C"	<http://purl.obolibrary.org/obo/IAO_0000415>	"hypothesis textual entity"	"A textual entity that expresses an assertion that is intended to be tested."	"2009/09/28 Alan Ruttenberg. Fucoidan-use-case"	"that fucoidan has a small statistically significant effect on AT3 level but no useful clinical effect as in-vivo anticoagulant, a paraphrase of part of the last paragraph of the discussion section of the paper 'Pilot clinical study to evaluate the anticoagulant activity of fucoidan', by Lowenthal et. al.PMID:19696660"	"http://purl.obolibrary.org/obo/IAO_0000120"	"hypothesis textual entity"	"Person:Alan Ruttenberg"		
"C"	<http://purl.obolibrary.org/obo/IAO_0000416>	"time measurement datum"	"A scalar measurement datum that is the result of measuring a temporal interval"	"2009/09/28 Alan Ruttenberg. Fucoidan-use-case"		"http://purl.obolibrary.org/obo/IAO_0000123"		"Person:Alan Ruttenberg"		
"C"	<http://purl.obolibrary.org/obo/IAO_0000422>	"postal address"	"A textual entity that is used as directive to deliver something to a person, or organization"	"2010-05-24 Alan Ruttenberg. Use label for the string representation. See issue https://github.com/information-artifact-ontology/IAO/issues/59"		"http://purl.obolibrary.org/obo/IAO_0000123"				
"C"	<http://purl.obolibrary.org/obo/IAO_0000429>	"email address"		"Alan Ruttenberg 1/3/2012 - Provisional id, see issue at https://github.com/information-artifact-ontology/IAO/issues/130&thanks=130&ts=1325636583"		"http://purl.obolibrary.org/obo/IAO_0000123"	"email address"	"Person:Alan Ruttenberg|Person:Chris Stoeckart"		
"C"	<http://purl.obolibrary.org/obo/IAO_0000442>	"author role"	"A role inhering in a person or organization that is realized when the bearer participates in the work which is the basis of the document, in the writing of the document, and signs it with their name."			"http://purl.obolibrary.org/obo/IAO_0000125"	"author role"	"PERSON: Melanie Courtot|PERSON: Alan Ruttenberg"		
"C"	<http://purl.obolibrary.org/obo/IAO_0000443>	"data item extraction from journal article"	"a planned process in which journal articles are read or processed and data items are extracted, typically for further analysis or indexing"			"http://purl.obolibrary.org/obo/IAO_0000120"		"Person:Alan Ruttenberg"		
